treeHeight 	 speedupBounded(green) 	 speedUpNotBounded (red) 	 forkJoin (black)
1	0.15959531255887563	0.14569627546588926	0.14413497744647472
2	0.37048126126062847	0.29808665035237736	0.2980929679872384
3	0.8204505934700238	0.47145069583153376	0.5635558128407634
4	1.1677707411279117	1.1399466810045478	0.6209862546268442
5	1.340181045045958	0.8577097204699726	0.791410496935312
6	1.6600974604539342	1.4547738847098723	0.7588097464725045
7	1.914870798973928	0.8662316822358904	0.9778777927031044
8	0.9432241457549647	0.8700451128077964	0.9352510872181279
9	2.5915634825444043	1.6364510660352334	1.8344729131902346
10	1.5173446545300975	1.9024370721483066	1.9154862576420113
